N,P,K,pH,temperature,humidity,rainfall,label,yield_kg_per_ha
23.74,69.57,21.17,6.75,23.28,48.0,76.25,lentil,1598.0
129.15,42.38,22.18,7.0,38.34,70.66,68.91,cotton,2891.28
34.51,39.53,39.9,6.84,23.12,58.96,176.75,grapes,15754.67
56.1,50.6,51.96,6.43,25.99,88.79,228.43,papaya,44108.66
39.02,25.15,33.21,5.63,33.38,49.86,191.96,mango,11840.38
41.42,69.24,62.12,6.9,27.04,82.52,216.08,papaya,43519.87
116.52,10.3,63.15,5.62,36.04,62.34,47.49,watermelon,28664.13
7.66,9.67,15.74,6.12,20.43,79.54,174.46,orange,21718.26
25.73,71.22,21.07,7.19,37.42,53.74,168.12,pigeonpeas,1341.91
24.19,68.13,32.08,6.13,21.58,61.57,131.2,kidneybeans,1792.05
99.76,46.01,49.54,6.04,23.37,75.92,202.83,rice,5322.55
44.13,67.22,82.01,6.46,20.68,41.63,37.69,chickpea,1357.95
27.82,64.46,30.24,7.16,25.03,53.5,70.68,mungbean,1139.16
1.89,18.44,19.12,7.0,11.89,81.34,122.73,orange,19530.23
95.3,63.2,247.41,6.46,26.74,90.29,220.38,banana,36138.55
110.17,22.86,64.33,6.5,34.46,72.18,35.2,muskmelon,17213.59
118.12,52.2,45.1,6.44,24.81,94.52,209.95,rice,4893.63
29.24,68.11,21.92,5.81,26.09,62.16,189.37,kidneybeans,1792.88
10.32,126.43,201.69,6.64,1.36,50.0,113.34,apple,18209.48
112.44,49.64,51.29,6.97,29.11,83.5,205.5,rice,5175.33
19.46,132.35,207.31,6.74,8.18,74.68,116.24,apple,17628.76
111.86,63.67,33.04,6.83,26.16,72.63,131.52,maize,6358.0
27.25,62.81,33.93,7.34,12.22,45.21,74.22,lentil,1505.55
54.86,64.28,63.29,6.95,26.47,78.01,268.15,papaya,45007.13
108.3,50.35,24.61,7.85,35.91,58.5,169.65,cotton,2674.0
17.03,66.95,27.3,5.78,25.59,69.13,125.32,kidneybeans,1760.29
90.96,49.67,43.83,5.95,29.9,45.22,89.82,pomegranate,16000.87
106.38,11.95,57.24,6.75,28.71,77.29,69.64,muskmelon,18443.43
25.33,60.07,26.68,6.25,36.89,45.97,71.56,pigeonpeas,1271.27
112.48,69.64,54.29,6.21,20.72,55.02,119.06,wheat,3906.17
0.24,149.17,205.29,6.85,13.41,63.89,178.52,apple,15831.22
54.95,69.24,48.95,6.88,28.59,70.81,154.86,papaya,43124.7
118.37,42.29,63.26,5.65,30.05,53.77,110.44,pomegranate,15507.94
57.13,52.78,50.75,6.28,34.34,92.01,241.0,papaya,44626.9
65.84,62.39,59.87,7.61,27.03,74.4,265.7,jute,2898.23
94.65,57.59,41.86,6.27,36.89,57.25,70.84,pomegranate,17196.12
33.37,51.65,48.14,6.45,16.28,72.7,75.2,grapes,14778.31
100.93,54.18,25.74,7.57,32.74,49.42,141.86,cotton,2511.09
103.28,63.21,49.21,6.47,39.85,39.47,62.56,pomegranate,17822.09
95.9,50.29,23.75,7.01,23.46,64.72,132.2,maize,6527.52
41.14,62.33,47.91,6.44,33.98,71.83,290.6,papaya,45453.62
107.71,18.92,57.53,6.71,30.87,68.57,88.23,muskmelon,19153.0
102.44,49.29,20.48,7.29,25.99,66.41,108.21,cotton,2536.84
7.12,8.09,43.01,7.01,35.78,88.27,255.83,coconut,12312.56
96.35,18.29,50.52,6.57,39.6,62.75,88.3,watermelon,31609.75
20.2,70.41,32.87,6.78,26.13,46.07,137.13,mungbean,1132.2
88.54,60.73,52.2,7.41,33.5,81.41,323.27,jute,2994.01
116.58,38.66,16.68,6.82,30.03,44.81,127.55,cotton,2649.29
102.34,34.14,40.05,6.88,18.7,80.48,188.97,coffee,1306.09
22.45,58.77,26.41,6.77,34.33,53.11,62.79,mungbean,1162.64
53.87,53.13,62.78,6.2,25.53,80.93,252.7,papaya,44615.95
25.46,37.45,48.32,7.06,24.1,47.62,199.71,mango,11897.19
28.99,71.51,21.21,6.57,25.56,63.62,168.58,kidneybeans,1656.8
81.16,54.07,52.65,6.83,32.74,86.04,209.9,jute,3298.18
28.9,67.11,31.25,6.25,13.82,48.66,26.44,lentil,1545.95
130.14,50.63,37.88,6.92,13.49,56.65,85.12,wheat,3820.35
41.21,67.62,89.37,6.67,28.36,37.99,95.0,chickpea,1401.59
0.67,136.91,196.7,5.54,16.7,72.15,129.29,apple,16837.31
61.24,60.73,46.78,7.41,25.08,86.77,280.67,jute,3089.24
104.19,42.11,21.31,5.65,28.03,70.24,116.41,maize,5899.14
19.22,64.44,23.87,7.3,31.47,55.45,117.19,pigeonpeas,1421.98
114.16,43.05,42.63,6.49,29.16,55.59,91.33,pomegranate,14706.07
56.31,52.53,55.55,6.5,28.96,94.8,230.93,papaya,44815.79
103.27,22.03,34.74,7.34,23.61,88.82,229.63,coffee,1365.26
106.14,66.75,44.69,6.07,10.25,51.84,66.44,wheat,4221.82
13.92,147.11,207.13,6.55,15.85,73.16,177.67,apple,16724.11
116.48,23.1,56.07,7.4,33.99,69.25,53.21,muskmelon,17346.65
20.05,66.93,33.64,6.04,13.28,47.86,49.08,lentil,1586.82
14.14,143.67,202.96,5.59,21.89,68.03,160.06,apple,18037.63
68.37,56.13,56.68,6.12,25.18,89.92,217.97,jute,3197.13
119.72,51.69,42.54,6.85,33.21,85.72,243.27,rice,4838.49
33.48,64.22,79.12,6.25,15.31,44.85,91.37,chickpea,1370.1
17.11,63.59,32.09,6.53,25.1,53.2,78.01,mungbean,1089.37
116.56,21.12,42.67,6.25,19.4,74.54,194.85,coffee,1077.52
24.31,58.59,27.06,6.58,16.13,69.69,133.67,kidneybeans,1864.62
100.7,19.65,45.78,7.07,31.59,69.24,88.5,muskmelon,17061.37
20.87,57.2,21.6,4.29,29.13,32.22,63.83,mothbeans,954.74
94.56,43.78,60.11,6.74,28.27,55.58,58.95,pomegranate,16982.93
34.48,63.12,21.23,7.05,27.67,58.27,183.76,blackgram,1088.51
84.61,52.39,42.44,6.78,31.31,91.4,228.91,rice,4993.68
36.28,68.42,76.8,6.95,18.96,23.25,32.58,chickpea,1393.85
112.76,18.77,49.46,6.83,31.16,62.84,46.16,watermelon,32619.1
132.77,59.86,50.46,6.41,17.41,44.94,136.09,wheat,4239.8
107.81,46.29,47.33,7.32,28.23,35.81,72.63,pomegranate,16433.15
15.35,50.0,31.89,6.95,12.93,41.87,50.38,lentil,1478.05
52.62,57.8,59.47,6.25,25.34,90.88,159.05,papaya,47251.12
24.68,58.96,19.76,4.57,24.19,34.09,51.47,mothbeans,866.71
94.38,76.52,61.5,6.65,33.28,89.12,110.9,banana,35343.15
91.42,66.17,178.08,6.91,34.92,82.15,289.27,banana,35226.45
45.66,57.0,70.45,6.23,20.92,31.67,39.55,chickpea,1237.2
85.5,56.9,58.59,6.91,30.14,77.79,166.31,jute,3045.0
95.42,76.11,124.77,6.07,34.86,90.42,272.16,banana,36909.43
64.38,57.34,59.13,6.05,26.95,91.86,163.95,jute,3053.66
90.69,46.07,51.09,7.38,34.58,47.75,91.52,pomegranate,16090.23
112.76,67.53,69.69,6.8,25.18,75.06,194.95,banana,35276.14
118.03,60.43,38.56,6.7,24.07,61.07,152.12,maize,5784.35
3.06,8.41,6.6,7.09,12.87,82.86,183.14,orange,19893.96
2.7,19.32,16.54,6.98,22.29,75.64,115.8,orange,20929.33
104.88,57.16,40.09,6.27,30.16,75.59,210.2,rice,4875.91
112.73,42.42,50.66,6.92,27.42,47.59,77.01,pomegranate,16380.05
25.3,61.78,30.45,6.04,34.91,66.83,147.3,pigeonpeas,1344.12
35.24,21.42,42.85,6.88,26.9,59.5,137.63,mango,10597.13
20.93,61.58,32.35,3.62,24.76,38.4,55.0,mothbeans,903.67
126.2,54.2,54.58,6.15,22.44,54.85,74.49,wheat,3762.72
27.72,48.99,19.39,4.87,29.88,32.54,61.43,mothbeans,862.76
94.31,73.96,115.98,5.71,34.47,92.51,124.85,banana,37866.86
94.01,49.15,37.68,7.33,32.97,53.58,117.69,maize,6668.53
138.65,65.13,44.94,6.72,10.4,63.56,81.92,wheat,3981.61
109.38,61.01,149.94,6.94,27.85,93.09,130.22,banana,35671.79
87.22,52.39,56.37,6.83,31.39,82.56,324.83,jute,3029.85
16.81,55.7,18.76,5.79,22.3,50.35,128.67,kidneybeans,1643.86
25.34,30.25,30.1,6.38,26.54,67.47,168.51,mango,12993.4
21.82,74.05,25.28,7.24,35.2,65.96,161.71,pigeonpeas,1412.37
15.24,79.76,27.07,6.29,32.78,58.0,128.48,pigeonpeas,1162.79
35.04,67.11,23.94,7.0,33.94,54.89,192.18,blackgram,1136.36
124.88,47.23,28.42,6.01,23.83,67.54,141.7,cotton,2762.05
111.85,43.53,30.37,5.69,28.75,51.57,192.23,maize,6542.3
17.93,56.12,27.03,5.56,24.63,59.86,172.8,kidneybeans,1750.1
87.02,56.24,45.29,6.87,22.1,88.55,272.17,rice,4839.95
6.68,12.9,15.96,7.11,20.29,79.66,124.13,orange,21765.56
113.46,23.8,59.57,7.03,28.65,70.9,61.91,muskmelon,16658.24
117.67,67.1,129.84,5.74,34.85,91.99,291.52,banana,36954.09
118.45,29.07,46.34,6.66,37.41,62.84,71.34,watermelon,28537.87
35.27,63.23,74.94,7.91,17.86,24.58,61.15,chickpea,1300.37
